"","orig.ident","nCount_RNA","nFeature_RNA","pANN_0.25_0.005_499","DF.classifications_0.25_0.005_499","RNA_snn_res.0.5","seurat_clusters"
"HIP015.1272","SeuratProject",2098,1133,0.198198198198198,"Singlet","3","3"
"HIP015.1273","SeuratProject",2107,1123,0.036036036036036,"Singlet","0","0"
"HIP015.1274","SeuratProject",2489,1117,0.045045045045045,"Singlet","0","0"
"HIP015.1275","SeuratProject",2848,1121,0.108108108108108,"Singlet","0","0"
"HIP015.1276","SeuratProject",1849,1140,0.036036036036036,"Singlet","0","0"
"HIP015.1277","SeuratProject",2042,1145,0.243243243243243,"Singlet","5","5"
"HIP015.1278","SeuratProject",2227,1139,0.0630630630630631,"Singlet","3","3"
"HIP015.1279","SeuratProject",2453,1127,0.027027027027027,"Singlet","0","0"
"HIP015.1280","SeuratProject",2672,1129,0.252252252252252,"Singlet","1","1"
"HIP015.1281","SeuratProject",2091,1125,0.0720720720720721,"Singlet","0","0"
"HIP015.1282","SeuratProject",2309,1137,0.117117117117117,"Singlet","1","1"
"HIP015.1283","SeuratProject",2166,1104,0.036036036036036,"Singlet","0","0"
"HIP015.1284","SeuratProject",2349,1134,0.045045045045045,"Singlet","2","2"
"HIP015.1285","SeuratProject",1909,1136,0.0630630630630631,"Singlet","2","2"
"HIP015.1286","SeuratProject",2665,1131,0.0810810810810811,"Singlet","0","0"
"HIP015.1287","SeuratProject",1995,1101,0.018018018018018,"Singlet","0","0"
"HIP015.1288","SeuratProject",2257,1135,0.18018018018018,"Singlet","0","0"
"HIP015.1290","SeuratProject",2381,1144,0.0810810810810811,"Singlet","0","0"
"HIP015.1291","SeuratProject",3225,1146,0.351351351351351,"Singlet","9","9"
"HIP015.1292","SeuratProject",2110,1140,0.27027027027027,"Singlet","12","12"
"HIP015.1293","SeuratProject",2267,1153,0.153153153153153,"Singlet","3","3"
"HIP015.1294","SeuratProject",2563,1130,0.00900900900900901,"Singlet","1","1"
"HIP015.1297","SeuratProject",2556,1142,0.036036036036036,"Singlet","4","4"
"HIP015.1299","SeuratProject",2446,1145,0.045045045045045,"Singlet","0","0"
"HIP015.1300","SeuratProject",2469,1150,0.036036036036036,"Singlet","2","2"
"HIP015.1301","SeuratProject",2422,1107,0.036036036036036,"Singlet","0","0"
"HIP015.1303","SeuratProject",2009,1148,0.216216216216216,"Singlet","0","0"
"HIP015.1304","SeuratProject",2140,1161,0.171171171171171,"Singlet","3","3"
"HIP015.1305","SeuratProject",2313,1150,0.018018018018018,"Singlet","0","0"
"HIP015.1306","SeuratProject",2003,1147,0.036036036036036,"Singlet","0","0"
"HIP015.1307","SeuratProject",2112,1147,0.0540540540540541,"Singlet","8","8"
"HIP015.1308","SeuratProject",2237,1156,0.297297297297297,"Singlet","0","0"
"HIP015.1309","SeuratProject",2763,1141,0.0900900900900901,"Singlet","4","4"
"HIP015.1310","SeuratProject",2473,1151,0.045045045045045,"Singlet","2","2"
"HIP015.1311","SeuratProject",2187,1161,0.108108108108108,"Singlet","3","3"
"HIP015.1312","SeuratProject",2616,1129,0.0630630630630631,"Singlet","1","1"
"HIP015.1314","SeuratProject",2352,1161,0.243243243243243,"Singlet","0","0"
"HIP015.1315","SeuratProject",2530,1158,0.0810810810810811,"Singlet","4","4"
"HIP015.1316","SeuratProject",2002,1168,0.18018018018018,"Singlet","1","1"
"HIP015.1318","SeuratProject",2258,1166,0.0900900900900901,"Singlet","0","0"
"HIP015.1319","SeuratProject",2281,1162,0.0990990990990991,"Singlet","2","2"
"HIP015.1320","SeuratProject",2329,1167,0.0540540540540541,"Singlet","0","0"
"HIP015.1321","SeuratProject",2473,1160,0.036036036036036,"Singlet","0","0"
"HIP015.1322","SeuratProject",2120,1144,0.153153153153153,"Singlet","0","0"
"HIP015.1323","SeuratProject",2250,1159,0.126126126126126,"Singlet","0","0"
"HIP015.1325","SeuratProject",2409,1160,0.108108108108108,"Singlet","4","4"
"HIP015.1326","SeuratProject",2698,1159,0.144144144144144,"Singlet","4","4"
"HIP015.1327","SeuratProject",2485,1157,0.0630630630630631,"Singlet","1","1"
"HIP015.1328","SeuratProject",2663,1161,0.0900900900900901,"Singlet","4","4"
"HIP015.1329","SeuratProject",3424,1174,0.252252252252252,"Singlet","9","9"
"HIP015.1330","SeuratProject",2041,1159,0.207207207207207,"Singlet","3","3"
"HIP015.1331","SeuratProject",2861,1163,0.0810810810810811,"Singlet","4","4"
"HIP015.1332","SeuratProject",4536,1163,0.369369369369369,"Singlet","9","9"
"HIP015.1334","SeuratProject",2408,1157,0.108108108108108,"Singlet","0","0"
"HIP015.1335","SeuratProject",2380,1168,0.045045045045045,"Singlet","0","0"
"HIP015.1336","SeuratProject",2925,1150,0.0630630630630631,"Singlet","4","4"
"HIP015.1337","SeuratProject",2081,1156,0.144144144144144,"Singlet","0","0"
"HIP015.1338","SeuratProject",2256,1146,0.0720720720720721,"Singlet","0","0"
"HIP015.1339","SeuratProject",2538,1165,0.369369369369369,"Singlet","13","13"
"HIP015.1340","SeuratProject",2032,1171,0.0540540540540541,"Singlet","5","5"
"HIP015.1341","SeuratProject",3097,1176,0.135135135135135,"Singlet","3","3"
"HIP015.1342","SeuratProject",2627,1161,0.117117117117117,"Singlet","4","4"
"HIP015.1343","SeuratProject",2929,1158,0.045045045045045,"Singlet","4","4"
"HIP015.1344","SeuratProject",2596,1157,0.018018018018018,"Singlet","0","0"
"HIP015.1346","SeuratProject",2057,1174,0.369369369369369,"Singlet","1","1"
"HIP015.1347","SeuratProject",2161,1176,0.0720720720720721,"Singlet","3","3"
"HIP015.1348","SeuratProject",2205,1178,0.189189189189189,"Singlet","0","0"
"HIP015.1349","SeuratProject",2663,1175,0.126126126126126,"Singlet","0","0"
"HIP015.1350","SeuratProject",2451,1178,0.0630630630630631,"Singlet","1","1"
"HIP015.1351","SeuratProject",2517,1167,0.0630630630630631,"Singlet","0","0"
"HIP015.1352","SeuratProject",2838,1174,0.0540540540540541,"Singlet","1","1"
"HIP015.1353","SeuratProject",2420,1171,0.0630630630630631,"Singlet","4","4"
"HIP015.1355","SeuratProject",2001,1179,0.126126126126126,"Singlet","3","3"
"HIP015.1356","SeuratProject",2295,1180,0.162162162162162,"Singlet","0","0"
"HIP015.1357","SeuratProject",2371,1186,0.0720720720720721,"Singlet","0","0"
"HIP015.1358","SeuratProject",2439,1167,0.0990990990990991,"Singlet","4","4"
"HIP015.1360","SeuratProject",2507,1179,0.0630630630630631,"Singlet","4","4"
"HIP015.1361","SeuratProject",2711,1176,0.0540540540540541,"Singlet","4","4"
"HIP015.1362","SeuratProject",2462,1161,0.027027027027027,"Singlet","0","0"
"HIP015.1363","SeuratProject",2551,1188,0.234234234234234,"Singlet","4","4"
"HIP015.1364","SeuratProject",2627,1181,0.0900900900900901,"Singlet","4","4"
"HIP015.1365","SeuratProject",2482,1191,0.153153153153153,"Singlet","0","0"
"HIP015.1366","SeuratProject",2197,1169,0.0990990990990991,"Singlet","0","0"
"HIP015.1367","SeuratProject",2465,1179,0.117117117117117,"Singlet","0","0"
"HIP015.1368","SeuratProject",2059,1195,0.144144144144144,"Singlet","5","5"
"HIP015.1369","SeuratProject",2120,1196,0.135135135135135,"Singlet","3","3"
"HIP015.1370","SeuratProject",2214,1188,0.00900900900900901,"Singlet","0","0"
"HIP015.1371","SeuratProject",2331,1183,0.342342342342342,"Singlet","0","0"
"HIP015.1372","SeuratProject",2335,1185,0.189189189189189,"Singlet","2","2"
"HIP015.1373","SeuratProject",2325,1185,0.0630630630630631,"Singlet","3","3"
"HIP015.1374","SeuratProject",2422,1185,0.027027027027027,"Singlet","0","0"
"HIP015.1375","SeuratProject",2769,1179,0,"Singlet","0","0"
"HIP015.1377","SeuratProject",2222,1176,0.0810810810810811,"Singlet","0","0"
"HIP015.1378","SeuratProject",2363,1176,0.0540540540540541,"Singlet","0","0"
"HIP015.1379","SeuratProject",2558,1189,0.0540540540540541,"Singlet","0","0"
"HIP015.1380","SeuratProject",2343,1190,0.0630630630630631,"Singlet","0","0"
"HIP015.1381","SeuratProject",2402,1192,0.108108108108108,"Singlet","4","4"
"HIP015.1382","SeuratProject",2611,1176,0.0540540540540541,"Singlet","0","0"
"HIP015.1383","SeuratProject",3056,1182,0.117117117117117,"Singlet","0","0"
"HIP015.1385","SeuratProject",2328,1192,0.243243243243243,"Singlet","0","0"
"HIP015.1386","SeuratProject",2788,1181,0.036036036036036,"Singlet","4","4"
"HIP015.1387","SeuratProject",2194,1203,0.0990990990990991,"Singlet","5","5"
"HIP015.1388","SeuratProject",2358,1188,0.126126126126126,"Singlet","1","1"
"HIP015.1389","SeuratProject",2470,1183,0.117117117117117,"Singlet","0","0"
"HIP015.1390","SeuratProject",2616,1180,0.144144144144144,"Singlet","0","0"
"HIP015.1391","SeuratProject",2132,1189,0.261261261261261,"Singlet","0","0"
"HIP015.1394","SeuratProject",2277,1191,0.0990990990990991,"Singlet","3","3"
"HIP015.1395","SeuratProject",2483,1193,0.045045045045045,"Singlet","0","0"
"HIP015.1396","SeuratProject",2169,1192,0.018018018018018,"Singlet","0","0"
"HIP015.1397","SeuratProject",2358,1193,0.0630630630630631,"Singlet","8","8"
"HIP015.1399","SeuratProject",2343,1193,0.126126126126126,"Singlet","0","0"
"HIP015.1400","SeuratProject",2362,1194,0.108108108108108,"Singlet","0","0"
"HIP015.1401","SeuratProject",2894,1197,0.0630630630630631,"Singlet","0","0"
"HIP015.1402","SeuratProject",2396,1181,0.144144144144144,"Singlet","5","5"
"HIP015.1403","SeuratProject",2410,1177,0.045045045045045,"Singlet","1","1"
"HIP015.1404","SeuratProject",2867,1180,0.0630630630630631,"Singlet","0","0"
"HIP015.1405","SeuratProject",2219,1206,0.036036036036036,"Singlet","2","2"
"HIP015.1406","SeuratProject",2392,1195,0.045045045045045,"Singlet","0","0"
"HIP015.1407","SeuratProject",2187,1189,0.108108108108108,"Singlet","0","0"
"HIP015.1408","SeuratProject",2281,1203,0.0990990990990991,"Singlet","1","1"
"HIP015.1409","SeuratProject",2517,1197,0.0630630630630631,"Singlet","0","0"
"HIP015.1411","SeuratProject",2385,1165,0.144144144144144,"Singlet","0","0"
"HIP015.1412","SeuratProject",2633,1194,0.126126126126126,"Singlet","4","4"
"HIP015.1413","SeuratProject",3227,1197,0.036036036036036,"Singlet","0","0"
"HIP015.1414","SeuratProject",2315,1202,0.297297297297297,"Singlet","0","0"
"HIP015.1415","SeuratProject",2219,1199,0.153153153153153,"Singlet","0","0"
"HIP015.1416","SeuratProject",2481,1205,0.027027027027027,"Singlet","0","0"
"HIP015.1417","SeuratProject",2614,1193,0.0540540540540541,"Singlet","4","4"
"HIP015.1418","SeuratProject",2295,1216,0.0900900900900901,"Singlet","3","3"
"HIP015.1419","SeuratProject",2385,1211,0.0630630630630631,"Singlet","0","0"
"HIP015.1420","SeuratProject",2400,1207,0.0990990990990991,"Singlet","0","0"
"HIP015.1421","SeuratProject",2865,1175,0.0900900900900901,"Singlet","4","4"
"HIP015.1423","SeuratProject",3040,1201,0.0900900900900901,"Singlet","0","0"
"HIP015.1424","SeuratProject",2297,1214,0.153153153153153,"Singlet","3","3"
"HIP015.1425","SeuratProject",2471,1209,0.117117117117117,"Singlet","0","0"
"HIP015.1426","SeuratProject",2492,1214,0.216216216216216,"Singlet","1","1"
"HIP015.1428","SeuratProject",2313,1215,0.036036036036036,"Singlet","8","8"
"HIP015.1429","SeuratProject",3261,1215,0.0990990990990991,"Singlet","4","4"
"HIP015.1430","SeuratProject",2041,1207,0.045045045045045,"Singlet","0","0"
"HIP015.1431","SeuratProject",2994,1216,0.18018018018018,"Singlet","2","2"
"HIP015.1432","SeuratProject",2554,1207,0.0990990990990991,"Singlet","2","2"
"HIP015.1433","SeuratProject",2286,1227,0.135135135135135,"Singlet","3","3"
"HIP015.1434","SeuratProject",2542,1205,0.00900900900900901,"Singlet","1","1"
"HIP015.1435","SeuratProject",2850,1213,0.0990990990990991,"Singlet","0","0"
"HIP015.1436","SeuratProject",2331,1225,0.171171171171171,"Singlet","3","3"
"HIP015.1437","SeuratProject",2244,1209,0.234234234234234,"Singlet","0","0"
"HIP015.1438","SeuratProject",2441,1220,0.036036036036036,"Singlet","0","0"
"HIP015.1439","SeuratProject",2541,1229,0.0540540540540541,"Singlet","2","2"
"HIP015.1440","SeuratProject",2532,1215,0.243243243243243,"Singlet","0","0"
"HIP015.1441","SeuratProject",2267,1197,0.0900900900900901,"Singlet","0","0"
"HIP015.1442","SeuratProject",2423,1210,0.108108108108108,"Singlet","0","0"
"HIP015.1443","SeuratProject",2293,1216,0.18018018018018,"Singlet","0","0"
"HIP015.1444","SeuratProject",2459,1225,0.0540540540540541,"Singlet","2","2"
"HIP015.1445","SeuratProject",2859,1229,0.144144144144144,"Singlet","4","4"
"HIP015.1446","SeuratProject",3229,1227,0.045045045045045,"Singlet","1","1"
"HIP015.1447","SeuratProject",3051,1211,0.00900900900900901,"Singlet","1","1"
"HIP015.1448","SeuratProject",3252,1153,0,"Singlet","0","0"
"HIP015.1450","SeuratProject",2179,1226,0.261261261261261,"Singlet","12","12"
"HIP015.1451","SeuratProject",2529,1231,0.036036036036036,"Singlet","0","0"
"HIP015.1453","SeuratProject",2418,1245,0.0900900900900901,"Singlet","0","0"
"HIP015.1454","SeuratProject",2490,1231,0.216216216216216,"Singlet","0","0"
"HIP015.1455","SeuratProject",2825,1215,0.018018018018018,"Singlet","0","0"
"HIP015.1456","SeuratProject",2549,1228,0.0630630630630631,"Singlet","0","0"
"HIP015.1457","SeuratProject",2583,1232,0.0540540540540541,"Singlet","0","0"
"HIP015.1458","SeuratProject",2177,1229,0.0990990990990991,"Singlet","2","2"
"HIP015.1459","SeuratProject",2308,1235,0.027027027027027,"Singlet","0","0"
"HIP015.1460","SeuratProject",2661,1236,0.171171171171171,"Singlet","4","4"
"HIP015.1461","SeuratProject",3002,1238,0,"Singlet","1","1"
"HIP015.1462","SeuratProject",2795,1233,0.0720720720720721,"Singlet","0","0"
"HIP015.1463","SeuratProject",2287,1156,0.0990990990990991,"Singlet","0","0"
"HIP015.1464","SeuratProject",2442,1243,0.162162162162162,"Singlet","3","3"
"HIP015.1465","SeuratProject",2612,1233,0.18018018018018,"Singlet","0","0"
"HIP015.1466","SeuratProject",2296,1243,0.351351351351351,"Singlet","3","3"
"HIP015.1467","SeuratProject",2317,1243,0.234234234234234,"Singlet","1","1"
"HIP015.1468","SeuratProject",2240,1242,0.207207207207207,"Singlet","7","7"
"HIP015.1469","SeuratProject",2349,1227,0.153153153153153,"Singlet","3","3"
"HIP015.1470","SeuratProject",2435,1241,0.189189189189189,"Singlet","0","0"
"HIP015.1471","SeuratProject",2640,1234,0.0990990990990991,"Singlet","1","1"
"HIP015.1472","SeuratProject",2691,1239,0.0810810810810811,"Singlet","1","1"
"HIP015.1473","SeuratProject",2744,1244,0.0630630630630631,"Singlet","2","2"
"HIP015.1474","SeuratProject",2566,1241,0.117117117117117,"Singlet","0","0"
"HIP015.1477","SeuratProject",2648,1231,0.045045045045045,"Singlet","1","1"
"HIP015.1479","SeuratProject",2146,1249,0.135135135135135,"Singlet","3","3"
"HIP015.1480","SeuratProject",2196,1250,0.045045045045045,"Singlet","0","0"
"HIP015.1481","SeuratProject",2357,1246,0.036036036036036,"Singlet","0","0"
"HIP015.1482","SeuratProject",2732,1224,0.0990990990990991,"Singlet","1","1"
"HIP015.1483","SeuratProject",2811,1236,0.216216216216216,"Singlet","0","0"
"HIP015.1484","SeuratProject",3024,1239,0.036036036036036,"Singlet","1","1"
"HIP015.1485","SeuratProject",2405,1247,0.0540540540540541,"Singlet","0","0"
"HIP015.1486","SeuratProject",2507,1252,0.108108108108108,"Singlet","0","0"
"HIP015.1487","SeuratProject",2650,1251,0.162162162162162,"Singlet","2","2"
"HIP015.1488","SeuratProject",2809,1238,0.171171171171171,"Singlet","1","1"
"HIP015.1489","SeuratProject",2077,1193,0.0540540540540541,"Singlet","0","0"
"HIP015.1491","SeuratProject",2482,1245,0.153153153153153,"Singlet","0","0"
"HIP015.1492","SeuratProject",2511,1260,0.0810810810810811,"Singlet","0","0"
"HIP015.1493","SeuratProject",2511,1244,0.162162162162162,"Singlet","2","2"
"HIP015.1494","SeuratProject",2301,1239,0.0540540540540541,"Singlet","0","0"
"HIP015.1496","SeuratProject",2242,1248,0.108108108108108,"Singlet","0","0"
"HIP015.1497","SeuratProject",2520,1253,0.153153153153153,"Singlet","0","0"
"HIP015.1498","SeuratProject",2628,1256,0.234234234234234,"Singlet","2","2"
"HIP015.1499","SeuratProject",2586,1258,0.153153153153153,"Singlet","7","7"
"HIP015.1500","SeuratProject",2652,1255,0.0540540540540541,"Singlet","2","2"
"HIP015.1502","SeuratProject",2486,1241,0.108108108108108,"Singlet","0","0"
"HIP015.1503","SeuratProject",2670,1251,0.0900900900900901,"Singlet","0","0"
"HIP015.1504","SeuratProject",2570,1265,0.126126126126126,"Singlet","3","3"
"HIP015.1505","SeuratProject",2923,1244,0.045045045045045,"Singlet","4","4"
"HIP015.1506","SeuratProject",2449,1262,0.0810810810810811,"Singlet","5","5"
"HIP015.1507","SeuratProject",2744,1260,0.045045045045045,"Singlet","0","0"
"HIP015.1508","SeuratProject",2698,1257,0.0900900900900901,"Singlet","0","0"
"HIP015.1509","SeuratProject",3259,1258,0.036036036036036,"Singlet","4","4"
"HIP015.1510","SeuratProject",2283,1275,0.0900900900900901,"Singlet","0","0"
"HIP015.1511","SeuratProject",2278,1247,0.0720720720720721,"Singlet","0","0"
"HIP015.1512","SeuratProject",3591,1249,0.0720720720720721,"Singlet","4","4"
"HIP015.1513","SeuratProject",2649,1260,0.198198198198198,"Singlet","3","3"
"HIP015.1514","SeuratProject",2257,1248,0.675675675675676,"Doublet","6","6"
"HIP015.1515","SeuratProject",3188,1254,0.0630630630630631,"Singlet","4","4"
"HIP015.1517","SeuratProject",2300,1247,0.135135135135135,"Singlet","0","0"
"HIP015.1518","SeuratProject",2669,1269,0.153153153153153,"Singlet","0","0"
"HIP015.1519","SeuratProject",2776,1262,0.036036036036036,"Singlet","0","0"
"HIP015.1520","SeuratProject",3190,1279,0.153153153153153,"Singlet","3","3"
"HIP015.1521","SeuratProject",2765,1264,0.126126126126126,"Singlet","0","0"
"HIP015.1522","SeuratProject",2817,1275,0.0540540540540541,"Singlet","0","0"
"HIP015.1523","SeuratProject",3790,1272,0.0900900900900901,"Singlet","0","0"
"HIP015.1524","SeuratProject",2788,1272,0.126126126126126,"Singlet","0","0"
"HIP015.1525","SeuratProject",2835,1270,0.126126126126126,"Singlet","0","0"
"HIP015.1526","SeuratProject",2848,1272,0.045045045045045,"Singlet","2","2"
"HIP015.1527","SeuratProject",2999,1268,0.108108108108108,"Singlet","0","0"
"HIP015.1529","SeuratProject",2303,1276,0.504504504504504,"Doublet","0","0"
"HIP015.1530","SeuratProject",2407,1283,0.216216216216216,"Singlet","3","3"
"HIP015.1531","SeuratProject",2555,1278,0.0990990990990991,"Singlet","0","0"
"HIP015.1532","SeuratProject",2842,1250,0.0540540540540541,"Singlet","1","1"
"HIP015.1533","SeuratProject",2335,1278,0.126126126126126,"Singlet","3","3"
"HIP015.1534","SeuratProject",2880,1269,0.234234234234234,"Singlet","0","0"
"HIP015.1535","SeuratProject",2802,1261,0.171171171171171,"Singlet","0","0"
"HIP015.1537","SeuratProject",2468,1274,0.0810810810810811,"Singlet","0","0"
"HIP015.1538","SeuratProject",3323,1270,0.126126126126126,"Singlet","4","4"
"HIP015.1539","SeuratProject",2478,1268,0.126126126126126,"Singlet","0","0"
"HIP015.1540","SeuratProject",2861,1282,0,"Singlet","1","1"
"HIP015.1541","SeuratProject",2549,1251,0.018018018018018,"Singlet","0","0"
"HIP015.1542","SeuratProject",2683,1284,0.513513513513513,"Doublet","6","6"
"HIP015.1543","SeuratProject",2704,1289,0.126126126126126,"Singlet","2","2"
"HIP015.1544","SeuratProject",2523,1281,0.0900900900900901,"Singlet","0","0"
"HIP015.1545","SeuratProject",2593,1273,0.198198198198198,"Singlet","1","1"
"HIP015.1547","SeuratProject",2475,1302,0.027027027027027,"Singlet","3","3"
"HIP015.1548","SeuratProject",2513,1296,0.144144144144144,"Singlet","3","3"
"HIP015.1549","SeuratProject",2690,1278,0.117117117117117,"Singlet","0","0"
"HIP015.1550","SeuratProject",2373,1285,0.207207207207207,"Singlet","0","0"
"HIP015.1551","SeuratProject",2657,1281,0.0630630630630631,"Singlet","0","0"
"HIP015.1552","SeuratProject",2949,1282,0.045045045045045,"Singlet","0","0"
"HIP015.1553","SeuratProject",2634,1296,0.117117117117117,"Singlet","0","0"
"HIP015.1554","SeuratProject",2734,1289,0.117117117117117,"Singlet","1","1"
"HIP015.1555","SeuratProject",2708,1283,0.117117117117117,"Singlet","0","0"
